Index,Hogwarts House
117,Hufflepuff
118,Slytherin
119,Ravenclaw
120,Gryffindor
121,Hufflepuff
122,Gryffindor
123,Gryffindor
124,Ravenclaw
125,Ravenclaw
126,Ravenclaw
127,Ravenclaw
128,Gryffindor
129,Ravenclaw
130,Ravenclaw
131,Gryffindor
132,Gryffindor
133,Ravenclaw
134,Hufflepuff
135,Ravenclaw
136,Ravenclaw
137,Ravenclaw
138,Gryffindor
139,Hufflepuff
140,Gryffindor
141,Ravenclaw
142,Hufflepuff
143,Ravenclaw
144,Gryffindor
145,Ravenclaw
146,Ravenclaw
147,Hufflepuff
148,Hufflepuff
149,Ravenclaw
150,Hufflepuff
151,Gryffindor
152,Gryffindor
153,Ravenclaw
154,Ravenclaw
155,Gryffindor
156,Hufflepuff
157,Ravenclaw
158,Hufflepuff
159,Ravenclaw
160,Ravenclaw
161,Hufflepuff
162,Hufflepuff
163,Hufflepuff
164,Ravenclaw
165,Ravenclaw
166,Hufflepuff
167,Hufflepuff
168,Hufflepuff
169,Hufflepuff
170,Gryffindor
171,Hufflepuff
172,Hufflepuff
173,Ravenclaw
174,Hufflepuff
175,Gryffindor
176,Gryffindor
177,Hufflepuff
178,Hufflepuff
179,Ravenclaw
180,Ravenclaw
181,Ravenclaw
182,Gryffindor
183,Ravenclaw
184,Gryffindor
185,Gryffindor
186,Hufflepuff
187,Ravenclaw
188,Hufflepuff
189,Ravenclaw
190,Gryffindor
191,Hufflepuff
192,Gryffindor
193,Ravenclaw
194,Ravenclaw
195,Hufflepuff
196,Ravenclaw
197,Hufflepuff
198,Hufflepuff
199,Gryffindor
200,Gryffindor
201,Hufflepuff
202,Ravenclaw
203,Hufflepuff
204,Gryffindor
205,Ravenclaw
206,Ravenclaw
207,Gryffindor
208,Gryffindor
209,Ravenclaw
210,Gryffindor
211,Hufflepuff
212,Ravenclaw
213,Ravenclaw
214,Ravenclaw
215,Ravenclaw
216,Hufflepuff
217,Hufflepuff
218,Gryffindor
219,Gryffindor
220,Gryffindor
221,Gryffindor
222,Hufflepuff
223,Hufflepuff
224,Gryffindor
225,Ravenclaw
226,Ravenclaw
227,Ravenclaw
228,Hufflepuff
229,Hufflepuff
230,Gryffindor
231,Hufflepuff
232,Ravenclaw
233,Ravenclaw
234,Hufflepuff
235,Hufflepuff
236,Hufflepuff
237,Ravenclaw
238,Gryffindor
239,Slytherin
240,Gryffindor
241,Gryffindor
242,Hufflepuff
243,Hufflepuff
244,Gryffindor
245,Gryffindor
246,Ravenclaw
247,Ravenclaw
248,Gryffindor
249,Hufflepuff
250,Slytherin
251,Ravenclaw
252,Hufflepuff
253,Hufflepuff
254,Ravenclaw
255,Ravenclaw
256,Hufflepuff
257,Ravenclaw
258,Hufflepuff
259,Ravenclaw
260,Ravenclaw
261,Ravenclaw
262,Ravenclaw
263,Hufflepuff
264,Hufflepuff
265,Ravenclaw
266,Ravenclaw
267,Slytherin
268,Ravenclaw
269,Ravenclaw
270,Hufflepuff
271,Ravenclaw
272,Ravenclaw
273,Gryffindor
274,Ravenclaw
275,Hufflepuff
276,Ravenclaw
277,Gryffindor
278,Gryffindor
279,Gryffindor
280,Hufflepuff
281,Hufflepuff
282,Hufflepuff
283,Hufflepuff
284,Hufflepuff
285,Ravenclaw
286,Ravenclaw
287,Ravenclaw
288,Gryffindor
289,Ravenclaw
290,Gryffindor
291,Gryffindor
292,Ravenclaw
293,Hufflepuff
294,Hufflepuff
295,Gryffindor
296,Ravenclaw
297,Hufflepuff
298,Hufflepuff
299,Hufflepuff
300,Hufflepuff
301,Hufflepuff
302,Hufflepuff
303,Hufflepuff
304,Ravenclaw
305,Ravenclaw
306,Gryffindor
307,Ravenclaw
308,Hufflepuff
309,Ravenclaw
310,Hufflepuff
311,Hufflepuff
312,Hufflepuff
313,Gryffindor
314,Ravenclaw
315,Hufflepuff
316,Ravenclaw
317,Ravenclaw
318,Hufflepuff
319,Ravenclaw
320,Slytherin
321,Ravenclaw
322,Ravenclaw
323,Ravenclaw
324,Ravenclaw
325,Ravenclaw
326,Ravenclaw
327,Hufflepuff
328,Ravenclaw
329,Gryffindor
330,Ravenclaw
331,Hufflepuff
332,Gryffindor
333,Ravenclaw
334,Ravenclaw
335,Hufflepuff
336,Ravenclaw
337,Hufflepuff
338,Gryffindor
339,Hufflepuff
340,Hufflepuff
341,Ravenclaw
342,Ravenclaw
343,Gryffindor
344,Hufflepuff
345,Hufflepuff
346,Hufflepuff
347,Ravenclaw
348,Ravenclaw
349,Ravenclaw
350,Slytherin
351,Gryffindor
352,Hufflepuff
353,Ravenclaw
354,Ravenclaw
355,Hufflepuff
356,Hufflepuff
357,Hufflepuff
358,Gryffindor
359,Hufflepuff
360,Ravenclaw
361,Gryffindor
362,Gryffindor
363,Ravenclaw
364,Hufflepuff
365,Gryffindor
366,Hufflepuff
367,Hufflepuff
368,Gryffindor
369,Hufflepuff
370,Hufflepuff
371,Gryffindor
372,Gryffindor
373,Ravenclaw
374,Hufflepuff
375,Hufflepuff
376,Ravenclaw
377,Ravenclaw
378,Gryffindor
379,Slytherin
380,Gryffindor
381,Hufflepuff
382,Gryffindor
383,Gryffindor
384,Gryffindor
385,Gryffindor
386,Ravenclaw
387,Ravenclaw
388,Hufflepuff
389,Ravenclaw
390,Ravenclaw
391,Hufflepuff
392,Hufflepuff
393,Ravenclaw
394,Hufflepuff
395,Ravenclaw
396,Hufflepuff
397,Hufflepuff
398,Ravenclaw
399,Ravenclaw
